id,latitude,longitude,nome,tipo,dist_origem_km,dist_concorrente_km,score_janela,score_dist_concorrente,score_potencial
10111345230,-16.6864814,-49.2666378,Cateretê Restaurante,restaurant,174.77207842407051,0.7189981623865989,0.3643525144612786,0.0011176579745003376,0.26146547247658225
10111766018,-16.664508,-49.2798857,Posto Medeiros,fuel,174.5479552786265,1.9764217375887114,0.36324409138786595,0.003072279779769586,0.2613868051741155
3690758700,-16.6777966,-49.2718353,Hotel La Rocca,hotel,174.67466261987082,0.9138314697121028,0.363870735014198,0.0014205196659792354,0.26126726331577754
3690758701,-16.6764557,-49.2722936,Sem nome,restaurant,174.63008024127308,1.041890248803356,0.36365024847316063,0.00161958264436159,0.26119469028466985
5237170222,-16.6923397,-49.2622523,Park Sushi,restaurant,174.7653165169133,0.1649554068389936,0.36431907278394315,0.0002564175202876499,0.2611870353339172
10116635582,-16.6875221,-49.2650785,Best West Tamandaré Plaza Hotel,hotel,174.70259991025736,0.5198039518370131,0.36400890163332034,0.0008080174085828171,0.26116641261003204
2526787869,-16.6882486,-49.2645996,Hotel Addres West Side Hotel Presidente,hotel,174.7073280950618,0.42632915667450694,0.36403228533660636,0.0006627140466362722,0.2611368518234197
4828449225,-16.6896137,-49.2635984,Jota's,restaurant,174.7075320579956,0.2461334583373623,0.364033294055369,0.00038260601611132426,0.26105342464551984
10116650390,-16.6906719,-49.2629702,Ibis Hotel,hotel,174.72069556456532,0.13365362574307169,0.3640983954726278,0.00020775997554261887,0.2610400316837045
4019628643,-16.6807627,-49.268481,Rosas Cozinha e Sentimento,restaurant,174.56901519055413,0.8527245568546337,0.363348245254966,0.0013255310665292062,0.26092527288040335
10114235248,-16.604358,-49.3138866,Posto Belem,fuel,173.9630299152011,4.6749680869418855,0.3603512854362073,0.007267077492328474,0.26090956091688794
5236073021,-16.6900441,-49.2626245,Restaurante Alecrim (Antigo Adriano's Restaurante),restaurant,174.65035462294654,0.13644869747807448,0.36375051742307885,0.00021210481865537031,0.2608326083069089
10116647561,-16.6869337,-49.2640214,San Marino Suite Hotel,hotel,174.57285858234246,0.5068838125863817,0.3633672531273119,0.0007879334954095334,0.260775398332475
4024200213,-16.6819778,-49.2668508,Restaurante Panela Mágica,restaurant,174.50373796970072,0.9298610825580337,0.3630254103348206,0.001445437149169929,0.26076754375310834
2526787922,-16.6818673,-49.2666061,Papillon Hotel,hotel,174.47533042446247,0.9586762292341294,0.3628849180240479,0.0014902293060261224,0.26069668601370155
10110200336,-16.6806954,-49.267361,Oeste Plaza Hotel,hotel,174.46681491426511,0.953335434878373,0.36284280373029243,0.0014819272244435161,0.26066892681297354
